#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A2E28D
#Date Time: 2026-04-02 18:40:56.302
#Sample rate: 1e+08Hz
#Samples: 4096

Time (s),I2S
0.01855668,R h00000000
0.01855669,R h00000000
0.0185567,R h00000000
0.01855671,R h00000000
0.01855672,R h00000000
0.01855673,R h00000000
0.01855674,R h00000000
0.01855675,R h00000000
0.01855676,R h00000000
0.01855677,R h00000000
0.01855678,R h00000000
0.01855679,R h00000000
0.0185568,R h00000000
0.01855681,R h00000000
0.01855682,R h00000000
0.01855683,R h00000000
0.01855684,R h00000000
0.01855685,R h00000000
0.01855686,R h00000000
0.01855687,R h00000000
0.01855688,R h00000000
0.01855689,R h00000000
0.0185569,R h00000000
0.01855691,R h00000000
0.01855692,R h00000000
0.01855693,R h00000000
0.01855694,R h00000000
0.01855695,R h00000000
0.01855696,R h00000000
0.01855697,R h00000000
0.01855698,R h00000000
0.01855699,R h00000000
0.018557,R h00000000
0.01855701,R h00000000
0.01855702,R h00000000
0.01855703,R h00000000
0.01855704,R h00000000
0.01855705,R h00000000
0.01855706,R h00000000
0.01855707,R h00000000
0.01855708,R h00000000
0.01855709,R h00000000
0.0185571,R h00000000
0.01855711,R h00000000
0.01855712,R h00000000
0.01855713,R h00000000
0.01855714,R h00000000
0.01855715,R h00000000
0.01855716,R h00000000
0.01855717,R h00000000
0.01855718,R h00000000
0.01855719,R h00000000
0.0185572,R h00000000
0.01855721,R h00000000
0.01855722,R h00000000
0.01855723,R h00000000
0.01855724,R h00000000
0.01855725,R h00000000
0.01855726,R h00000000
0.01855727,R h00000000
0.01855728,R h00000000
0.01855729,R h00000000
0.0185573,R h00000000
0.01855731,R h00000000
0.01855732,R h00000000
0.01855733,R h00000000
0.01855734,R h00000000
0.01855735,R h00000000
0.01855736,R h00000000
0.01855737,R h00000000
0.01855738,R h00000000
0.01855739,R h00000000
0.0185574,R h00000000
0.01855741,R h00000000
0.01855742,R h00000000
0.01855743,R h00000000
0.01855744,R h00000000
0.01855745,R h00000000
0.01855746,R h00000000
0.01855747,R h00000000
0.01855748,R h00000000
0.01855749,R h00000000
0.0185575,R h00000000
0.01855751,R h00000000
0.01855752,R h00000000
0.01855753,R h00000000
0.01855754,R h00000000
0.01855755,R h00000000
0.01855756,R h00000000
0.01855757,R h00000000
0.01855758,R h00000000
0.01855759,R h00000000
0.0185576,R h00000000
0.01855761,R h00000000
0.01855762,R h00000000
0.01855763,R h00000000
0.01855764,R h00000000
0.01855765,R h00000000
0.01855766,R h00000000
0.01855767,R h00000000
0.01855768,R h00000000
0.01855769,R h00000000
0.0185577,R h00000000
0.01855771,R h00000000
0.01855772,R h00000000
0.01855773,R h00000000
0.01855774,R h00000000
0.01855775,R h00000000
0.01855776,R h00000000
